toko,nama_produk,varian_berat,harga_rp,berat_gram,harga_per_gram,harga_per_kg,link_shopee
"Kompetitor_37185894","Paket Kombo Toples Jumbo Bawang Merah 400gr + Bawang Putih Iris 450gr – Praktis & Ekonomis","Paket Kombo Toples Jumbo Bawang Merah 400gr + Bawang Putih Iris 450gr – Praktis & Ekonomis",105000,400,262.5,262500,"https://shopee.co.id/Paket-Kombo-Toples-Jumbo-Bawang-Merah-400gr-Bawang-Putih-Iris-450gr-%E2%80%93-Praktis-Ekonomis-i.37185894.42666394370?extraParams=%7B%22display_model_id%22%3A301350393754%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Brambang Goreng Premium 200gr – Renyah, Gurih, & Praktis!","Brambang Goreng Premium 200gr – Renyah, Gurih, & Praktis!",32000,200,160,160000,"https://shopee.co.id/Brambang-Goreng-Premium-200gr-%E2%80%93-Renyah-Gurih-Praktis!-i.37185894.27767837325?extraParams=%7B%22display_model_id%22%3A257045054334%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Brambang Goreng Premium 500g – Kemasan Plastik, Lebih Murah, Lebih Banyak!"","Brambang Goreng Premium 500g – Kemasan Plastik, Lebih Murah, Lebih Banyak!"",73000,500,146,146000,"https://shopee.co.id/Brambang-Goreng-Premium-500g-%E2%80%93-Kemasan-Plastik-Lebih-Murah-Lebih-Banyak!--i.37185894.28068524951?extraParams=%7B%22display_model_id%22%3A147568104855%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Bawang Merah Toples Jumbo 400gr – Praktis & Tanpa Pengawet","Bawang Merah Toples Jumbo 400gr – Praktis & Tanpa Pengawet",60000,400,150,150000,"https://shopee.co.id/Bawang-Merah-Toples-Jumbo-400gr-%E2%80%93-Praktis-Tanpa-Pengawet-i.37185894.43316400171?extraParams=%7B%22display_model_id%22%3A198676905250%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Brambang Goreng Premium 260g – Renyah, Gurih, & Praktis!","Brambang Goreng Premium 260g – Renyah, Gurih, & Praktis!",36000,260,138.46,138462,"https://shopee.co.id/Brambang-Goreng-Premium-260g-%E2%80%93-Renyah-Gurih-Praktis!-i.37185894.26867824949?extraParams=%7B%22display_model_id%22%3A195561931533%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Brambang Goreng Premium 250g – Kemasan Plastik, Lebih Murah, Lebih Banyak!"","Brambang Goreng Premium 250g – Kemasan Plastik, Lebih Murah, Lebih Banyak!"",42000,250,168,168000,"https://shopee.co.id/Brambang-Goreng-Premium-250g-%E2%80%93-Kemasan-Plastik-Lebih-Murah-Lebih-Banyak!--i.37185894.29017827598?extraParams=%7B%22display_model_id%22%3A237031391816%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Brambang Goreng Kriuk 160gr – Gurih & Renyah, Tanpa Pengawet Bawang","Brambang Goreng Kriuk 160gr – Gurih & Renyah, Tanpa Pengawet Bawang",23000,160,143.75,143750,"https://shopee.co.id/Brambang-Goreng-Kriuk-160gr-%E2%80%93-Gurih-Renyah-Tanpa-Pengawet-Bawang-i.37185894.705123325?extraParams=%7B%22display_model_id%22%3A90324637937%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Bawang Putih Cacah 450g Pouch Siap Pakai","Bawang Putih Cacah 450g Pouch Siap Pakai",60000,450,133.33,133333,"https://shopee.co.id/Bawang-Putih-Cacah-450g-Pouch-Siap-Pakai-i.37185894.42516392887?extraParams=%7B%22display_model_id%22%3A281349971931%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Bawang Putih Iris Kering 500gr – Praktis & Siap Pakai (Pouch)","Bawang Putih Iris Kering 500gr – Praktis & Siap Pakai (Pouch)",60000,500,120,120000,"https://shopee.co.id/Bawang-Putih-Iris-Kering-500gr-%E2%80%93-Praktis-Siap-Pakai-(Pouch)-i.37185894.28440817244?extraParams=%7B%22display_model_id%22%3A248828793099%2C%22model_selection_logic%22%3A3%7D"
"Kompetitor_37185894","Bawang Putih Iris 250gr – Praktis & Siap Masak (Pouch)","Bawang Putih Iris 250gr – Praktis & Siap Masak (Pouch)",32000,250,128,128000,"https://shopee.co.id/Bawang-Putih-Iris-250gr-%E2%80%93-Praktis-Siap-Masak-(Pouch)-i.37185894.40266379173?extraParams=%7B%22display_model_id%22%3A266350198441%2C%22model_selection_logic%22%3A3%7D"
